ESCL #,WSU ID,SAMPLE ID,YEAR,LOCATION,PLOT,ENTRY,POP,ID,Taurine ,Hydroxyproline,Aspartic Acid,Threonine,Serine,Glutamic Acid,Proline,Lanthionine ,Glycine,Alanine,Cysteine,Valine,Methionine,Isoleucine,Leucine,Tyrosine,Phenylalanine,Hydroxylysine,Ornithine ,Lysine,Histidine,Arginine,Tryptophan,SAA,AAA,Total AA,Total Essential AA,Total Nonessential AA,Crude protein,Moisture,Crude Fat,Crude Fiber,Ash,Crude Carbohydrates,newEntry,locEntry,newLocation,LeuRank,LeuLocRank
3560,28,2016_Quil_103,2016,Quil,103,WWA15FS87,104,Quil.104.FS87,1.69,0.47,8.25,3.75,3.75,13.31,4.12,0,5.72,4.5,1.87,4.97,2.34,4.22,6.47,2.91,4.03,0.09,0.09,6.19,2.62,7.69,1.03,4.22,6.94,90.08,35.62,54.46,10.67,7.13,5.6,2.08,2.92,71.6,FS87,FS87.Quil,Quilcene,21,43
3571,39,2016_Quil_33,2016,Quil,33,WWA15FS28,104,Quil.104.FS28,1.48,0.52,8.21,3.76,3.93,12.93,3.84,0,5.76,4.54,1.92,4.89,2.36,4.02,6.46,2.79,4.02,0.09,0.09,6.2,2.71,7.77,0.96,4.28,6.81,89.25,35.38,53.87,11.45,7.13,6.02,2.1,2.98,70.32,FS28,FS28.Quil,Quilcene,22,44
3578,46,2016_Quil_59,2016,Quil,59,WWA15FS49,106,Quil.106.FS49,1.19,0.34,8.33,3.57,3.82,13.25,3.91,0,5.86,4.33,1.7,4.84,2.21,4.16,6.46,2.8,3.99,0.08,0.08,5.69,2.8,7.99,0.68,3.91,6.8,88.08,34.4,53.68,11.77,7.03,6.9,3.1,3.44,67.76,FS49,FS49.Quil,Quilcene,23,45
3590,58,2016_Quil_9,2016,Quil,9,WWA15FS9,102,Quil.102.FS9,1.6,0.47,8.21,3.77,3.87,12.36,3.87,0,5.75,4.53,1.89,4.91,2.17,4.06,6.42,2.83,3.96,0.09,0.09,6.13,2.64,7.36,1.13,4.06,6.79,88.11,35.19,52.92,10.6,7.07,5.43,2.05,2.9,71.95,FS9,FS9.Quil,Quilcene,27,46
3593,61,2016_Quil_92,2016,Quil,92,WWA15FS77,104,Quil.104.FS77,1.39,0.37,8.55,3.81,4.09,13.2,4,0,5.86,4.55,1.95,4.83,2.32,4.09,6.41,2.79,4,0,0.09,6.23,2.7,7.81,1.3,4.28,6.78,90.34,35.69,54.65,10.76,7.05,5.76,2.1,2.7,71.63,FS77,FS77.Quil,Quilcene,29,47
3561,29,2016_Quil_107,2016,Quil,107,WWA15FS90,108,Quil.108.FS90,1.52,0.42,8,3.62,3.7,14.06,3.96,0,5.72,4.38,1.94,4.88,2.27,4.12,6.4,2.86,4.04,0.08,0.08,6.06,2.78,8.16,0.84,4.21,6.9,89.89,35.01,54.88,11.88,7.05,5.82,2.2,3.2,69.85,FS90,FS90.Quil,Quilcene,31,48
3563,31,2016_Quil_13,2016,Quil,13,WWA15FS12,102,Quil.102.FS12,1.59,0.35,8.05,3.72,3.81,12.48,3.72,0,5.58,4.42,1.77,4.78,2.21,3.98,6.37,2.83,3.98,0.09,0.09,6.11,2.57,7.52,0.97,3.98,6.81,86.99,34.69,52.3,11.3,6.81,5.76,2.19,2.96,70.98,FS12,FS12.Quil,Quilcene,35,49
3562,30,2016_Quil_109,2016,Quil,109,WWA15FS92,105,Quil.105.FS92,1.52,0.51,8.29,3.55,3.81,13.71,4.15,0,5.58,4.31,1.95,4.82,2.37,4.06,6.35,2.71,3.98,0.08,0.08,5.75,2.71,7.87,1.02,4.31,6.68,89.18,34.61,54.57,11.82,6.66,5.75,2.71,3.09,69.97,FS92,FS92.Quil,Quilcene,36,50
3580,48,2016_Quil_61,2016,Quil,61,WWA15FS51,108,Quil.108.FS51,1.66,0.55,8.1,3.68,3.78,12.43,3.96,0,5.62,4.33,1.93,4.79,2.3,3.96,6.26,2.67,3.87,0.09,0.09,5.99,2.58,7.37,1.2,4.24,6.54,87.21,34.63,52.58,10.86,7.13,5.57,1.98,2.91,71.55,FS51,FS51.Quil,Quilcene,45,51
3566,34,2016_Quil_23,2016,Quil,23,WWA15FS20,104,Quil.104.FS20,1.63,0.43,8.04,3.59,3.76,13.86,3.76,0,5.56,4.36,1.97,4.79,2.31,3.93,6.24,2.82,3.93,0.09,0.09,5.9,2.65,7.87,1.03,4.28,6.76,88.61,34.37,54.24,11.69,7.08,5.85,2.17,2.92,70.29,FS20,FS20.Quil,Quilcene,46,52
3572,40,2016_Quil_36,2016,Quil,36,WWA15FS30,104,Quil.104.FS30,1.49,0.35,7.91,3.6,3.78,12.65,3.95,0,5.54,4.31,1.85,4.75,2.28,3.87,6.24,2.64,3.87,0.09,0.09,5.89,2.55,7.38,0.97,4.13,6.5,86.05,34.02,52.03,11.38,7.05,5.97,2.23,2.97,70.4,FS30,FS30.Quil,Quilcene,47,53
3585,53,2016_Quil_77,2016,Quil,77,WWA15FS65,107,Quil.107.FS65,1.32,0.53,8.07,3.6,3.86,12.72,3.77,0,5.61,4.3,1.75,4.74,2.19,3.95,6.23,2.72,3.86,0.09,0.09,5.7,2.63,7.54,0.96,3.95,6.58,86.23,33.86,52.37,11.4,7.1,6.7,3.65,2.87,68.28,FS65,FS65.Quil,Quilcene,49,54
3586,54,2016_Quil_78,2016,Quil,78,WWA15FS66,108,Quil.108.FS66,1.49,0.44,7.9,3.6,3.78,12.64,3.78,0,5.71,4.39,1.84,4.74,2.28,3.95,6.23,2.72,3.86,0.09,0.09,5.97,2.63,7.55,1.14,4.13,6.58,86.82,34.4,52.42,11.39,6.98,5.91,2.1,2.93,70.69,FS66,FS66.Quil,Quilcene,50,55
3569,37,2016_Quil_3,2016,Quil,3,WWA15FS3,107,Quil.107.FS3,1.22,0.49,8,3.51,3.76,12.9,3.76,0,5.39,4.24,1.8,4.65,2.04,3.92,6.2,2.69,3.92,0.08,0.08,5.63,2.69,7.76,0.82,3.84,6.61,85.55,33.38,52.17,12.25,6.99,5.87,3.03,3.28,68.58,FS3,FS3.Quil,Quilcene,54,56
3577,45,2016_Quil_5,2016,Quil,5,WWA15FS5,102,Quil.102.FS5,1.39,0.41,8.08,3.67,3.84,12.65,3.67,0,5.55,4.33,1.88,4.73,2.2,3.92,6.2,2.69,3.92,0.08,0.08,5.96,2.61,7.51,0.82,4.08,6.61,86.19,34.03,52.16,12.25,7.05,5.61,2.1,2.86,70.13,FS5,FS5.Quil,Quilcene,55,57
3579,47,2016_Quil_60,2016,Quil,60,WWA15FS50,107,Quil.107.FS50,1.29,0.52,7.91,3.44,3.78,13.07,3.96,0,5.59,4.13,1.81,4.64,1.98,3.96,6.19,2.67,3.87,0.09,0.09,5.42,2.67,7.82,1.03,3.78,6.53,85.93,33.2,52.73,11.63,7.32,6.43,2.69,2.79,69.14,FS50,FS50.Quil,Quilcene,57,58
3584,52,2016_Quil_70,2016,Quil,70,WWA15FS59,104,Quil.104.FS59,1.39,0.43,7.99,3.65,3.82,13.29,3.65,0,5.56,4.34,1.82,4.69,2.09,3.91,6.17,2.61,3.82,0.09,0.09,5.91,2.61,7.38,1.04,3.91,6.43,86.35,33.89,52.46,11.51,6.89,5.34,2.03,2.87,71.36,FS59,FS59.Quil,Quilcene,59,59
3592,60,2016_Quil_91,2016,Quil,91,WWA15FS76,102,Quil.102.FS76,1.44,0.54,7.85,3.61,3.88,12.18,3.88,0,5.51,4.33,1.81,4.69,2.08,3.88,6.14,2.8,3.79,0.09,0.09,5.87,2.53,7.13,1.08,3.88,6.59,85.2,33.67,51.53,11.08,6.95,6.06,2.24,2.93,70.74,FS76,FS76.Quil,Quilcene,65,60
3587,55,2016_Quil_84,2016,Quil,84,WWA15FS70,108,Quil.108.FS70,1.49,0.61,7.98,3.59,3.68,13.15,3.59,0,5.52,4.29,1.84,4.73,2.28,3.86,6.13,2.8,3.86,0.09,0.09,5.87,2.54,7.36,1.05,4.12,6.66,86.4,33.91,52.49,11.41,6.91,5.82,2.24,3.07,70.55,FS70,FS70.Quil,Quilcene,67,61
3591,59,2016_Quil_90,2016,Quil,90,WWA15FS75,104,Quil.104.FS75,1.42,0.36,8.08,3.46,3.82,12.97,3.82,0,5.77,4.17,1.87,4.62,2.13,3.91,6.13,2.66,3.91,0.09,0.09,5.6,2.66,7.82,1.15,4,6.57,86.51,33.57,52.94,11.26,7.04,5.91,2.02,2.84,70.93,FS75,FS75.Quil,Quilcene,68,62
3575,43,2016_Quil_46,2016,Quil,46,WWA15FS38,104,Quil.104.FS38,1.3,0.49,7.81,3.5,3.74,12.69,3.66,0,5.29,4.15,1.79,4.56,2.12,3.82,6.1,2.6,3.82,0.08,0.08,5.61,2.6,7.73,0.73,3.91,6.43,84.27,32.86,51.41,12.29,7.3,4.56,3.85,2.97,69.03,FS38,FS38.Quil,Quilcene,72,63
3567,35,2016_Quil_24,2016,Quil,24,WWA15FS21,104,Quil.104.FS21,1.5,0.5,7.74,3.5,3.66,12.91,3.5,0,5.41,4.25,1.75,4.58,2.08,3.83,6.08,2.58,3.75,0.08,0.08,5.83,2.5,7.16,0.92,3.83,6.33,84.19,33.07,51.12,12.01,6.93,5.94,2.29,2.9,69.93,FS21,FS21.Quil,Quilcene,77,64
3573,41,2016_Quil_44,2016,Quil,44,WWA15FS36,102,Quil.102.FS36,1.49,0.53,7.9,3.6,3.78,12.91,3.6,0,5.44,4.21,1.76,4.57,2.11,3.86,6.06,2.55,3.78,0.09,0.09,5.79,2.46,7.11,0.97,3.86,6.32,84.66,33.2,51.46,11.39,7,5.8,2.21,2.85,70.75,FS36,FS36.Quil,Quilcene,78,65
3583,51,2016_Quil_7,2016,Quil,7,WWA15FS7,107,Quil.107.FS7,1.69,0.6,7.75,3.48,3.78,12.13,3.88,0,5.57,4.17,1.79,4.67,2.09,3.78,6.06,2.68,3.78,0.1,0.1,5.67,2.49,7.26,1.19,3.88,6.46,84.71,33.21,51.5,10.06,6.91,6.81,1.83,2.74,71.65,FS7,FS7.Quil,Quilcene,79,66
3576,44,2016_Quil_49,2016,Quil,49,WWA15FS40,102,Quil.102.FS40,1.46,0.52,7.66,3.44,3.7,12.82,3.53,0,5.42,4.22,1.72,4.56,2.07,3.79,6.02,2.67,3.79,0.09,0.09,5.77,2.5,7.06,0.95,3.79,6.45,83.85,32.89,50.96,11.62,7.08,5.65,1.79,2.91,70.95,FS40,FS40.Quil,Quilcene,83,67
3589,57,2016_Quil_87,2016,Quil,87,WWA15FS73,104,Quil.104.FS73,1.59,0.37,7.85,3.55,3.74,11.96,3.55,0,5.42,4.21,1.87,4.58,2.06,3.83,5.98,2.62,3.74,0.09,0.09,5.7,2.52,7.29,0.93,3.93,6.36,83.54,32.89,50.65,10.7,7.03,5.92,2,2.97,71.38,FS73,FS73.Quil,Quilcene,85,68
3582,50,2016_Quil_66,2016,Quil,66,WWA15FS56,108,Quil.108.FS56,1.5,0.5,7.65,3.41,3.57,11.97,3.66,0,5.32,4.07,1.83,4.49,2.16,3.66,5.9,2.58,3.74,0.08,0.08,5.57,2.49,7.23,1,3.99,6.32,82.46,32.42,50.04,12.03,6.96,5.82,2.27,3.27,69.65,FS56,FS56.Quil,Quilcene,92,69
3581,49,2016_Quil_63,2016,Quil,63,WWA15FS53,104,Quil.104.FS53,1.48,0.44,7.6,3.41,3.67,11.97,3.58,0,5.33,4.1,1.75,4.45,2.1,3.84,5.85,2.62,3.67,0.09,0.09,5.59,2.53,7.34,1.14,3.84,6.29,82.64,32.58,50.06,11.45,7.16,5.23,2.18,3.06,70.92,FS53,FS53.Quil,Quilcene,94,70
