ID,newLocation,His_Score,Ile_Score,Leu_Score,Lys_Score,SAA_Score,AAA_Score,Thr_Score,Trp_Score,Val_Score,His_Lim,Ile_Lim,Leu_Lim,Lys_Lim,SAA_Lim,AAA_Lim,Thr_Lim,Trp_Lim,Val_Lim,Limiting_AA,Limiting_AA_Score,PDCAAS,newLocation,POP,entry,
Sq.102.FS17,Sequim,1.19,1.128125,0.857575758,0.921052632,1.228571429,1.15,1.032258065,1.447058824,1.009302326,.,.,LIMITING,LIMITING,.,.,.,.,.,Leu_Score,4,0.711787879,Sequim,102,FS17,
Sq.104.FS20,Sequim,1.27,1.190625,0.898484848,0.950877193,1.392857143,1.205769231,1.067741935,1.294117647,1.044186047,.,.,LIMITING,LIMITING,.,.,.,.,.,Leu_Score,4,0.745742424,Sequim,104,FS20,
Sq.104.FS21,Sequim,1.355,1.23125,0.928787879,1.014035088,1.439285714,1.263461538,1.129032258,1.541176471,1.079069767,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.770893939,Sequim,104,FS21,
Sq.0.CO407Dave,Sequim,1.34,1.21875,0.927272727,0.992982456,1.45,1.25,1.135483871,1.352941176,1.06744186,.,.,LIMITING,LIMITING,.,.,.,.,.,Leu_Score,4,0.769636364,Sequim,Controls,CO407Dave,
Sq.102.FS24,Sequim,1.36,1.2375,0.937878788,1.028070175,1.414285714,1.269230769,1.14516129,1.458823529,1.113953488,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.778439394,Sequim,102,FS24,
Sq.108.FS26,Sequim,1.355,1.271875,0.951515152,1.026315789,1.425,1.288461538,1.148387097,1.6,1.123255814,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.789757576,Sequim,108,FS26,
Sq.104.FS27,Sequim,1.315,1.203125,0.915151515,0.998245614,1.471428571,1.263461538,1.103225806,1.129411765,1.1,.,.,LIMITING,LIMITING,.,.,.,.,.,Leu_Score,4,0.759575758,Sequim,104,FS27,
Sq.104.FS28,Sequim,1.295,1.175,0.924242424,0.998245614,1.492857143,1.271153846,1.161290323,1.470588235,1.051162791,.,.,LIMITING,LIMITING,.,.,.,.,.,Leu_Score,4,0.767121212,Sequim,104,FS28,
Sq.0.Cherry Vanilla,Sequim,1.265,1.2,0.913636364,0.980701754,1.403571429,1.242307692,1.1,1.341176471,1.097674419,.,.,LIMITING,LIMITING,.,.,.,.,.,Leu_Score,4,0.758318182,Sequim,Controls,Cherry Vanilla,
Sq.102.FS36,Sequim,1.36,1.25,0.945454545,0.996491228,1.371428571,1.259615385,1.135483871,1.411764706,1.097674419,.,.,LIMITING,LIMITING,.,.,.,.,.,Leu_Score,4,0.784727273,Sequim,102,FS36,
